date,ticker,shares,mark_price,mark_value
2023-06-01,PVD,7300,23372.406181015453,170618565.1214128
2023-06-02,KOS,4200,38450.0,161490000.0
2023-06-02,PVD,7300,23763.576158940396,173474105.9602649
2023-06-05,KOS,4200,38500.0,161700000.0
2023-06-05,PVD,7300,23665.783664459163,172760220.75055188
2023-06-06,KOS,4200,38550.0,161910000.0
2023-06-06,PVD,7300,23665.783664459163,172760220.75055188
2023-06-07,KOS,4200,38550.0,161910000.0
2023-06-07,PVD,7300,23910.264900662252,174544933.77483445
2023-06-08,KOS,4200,38600.0,162120000.0
2023-06-08,PVD,7300,23127.924944812363,168833852.09713024
2023-06-09,KOS,4200,38650.0,162330000.0
2023-06-09,PVD,7300,23079.028697571743,168476909.49227372
2023-06-12,KOS,4200,38550.0,161910000.0
2023-06-12,PVD,7300,22883.443708609273,167049139.0728477
2023-06-13,KOS,4200,38450.0,161490000.0
2023-06-13,PVD,7300,23323.509933774836,170261622.5165563
2023-06-14,KOS,4200,38500.0,161700000.0
2023-06-14,PVD,7300,22883.443708609273,167049139.0728477
2023-06-15,KOS,4200,38450.0,161490000.0
2023-06-15,PVD,7300,23861.368653421632,174187991.1699779
2023-06-16,KOS,4200,38500.0,161700000.0
2023-06-16,PVD,7300,23323.509933774836,170261622.5165563
2023-06-19,KOS,4200,38200.0,160440000.0
2023-06-19,PVD,7300,23470.19867549669,171332450.33112583
2023-06-20,KOS,4200,38100.0,160020000.0
2023-06-20,PVD,7300,23910.264900662252,174544933.77483445
2023-06-21,KOS,4200,38000.0,159600000.0
2023-06-21,PVD,7300,24350.331125827815,177757417.21854305
2023-06-22,KOS,4200,38100.0,160020000.0
2023-06-22,PVD,7300,24448.123620309052,178471302.4282561
2023-06-23,KOS,4200,38200.0,160440000.0
2023-06-23,PVD,7300,23616.887417218542,172403278.14569536
2024-04-03,PVD,4700,33151.65562913907,155812781.45695364
2024-04-04,PVD,4700,32809.38189845475,154204094.9227373
2024-04-05,PVD,4700,32173.73068432671,151216534.21633554
2024-04-08,PVD,4700,32173.73068432671,151216534.21633554
2024-05-17,PVD,4900,31880.353200883,156213730.6843267
